Date : 2026-06-20 14:16:59
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 325 files,  33679 codes, 346 comments, 2629 blanks, all 36654 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\options\route.ts                                    | TypeScript     |         78 |          0 |          7 |         85 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\route.ts                                            | TypeScript     |        195 |          0 |         20 |        215 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\settings\route.ts                                   | TypeScript     |         27 |          0 |          6 |         33 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\freshness\route.ts                 | TypeScript     |         49 |          0 |         -4 |         45 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts                   | TypeScript     |          2 |          0 |          0 |          2 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\overview\route.ts                  | TypeScript     |        116 |          0 |         -9 |        107 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ro-billing-analysis\route.ts       | TypeScript     |        133 |          0 |          4 |        137 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\route.ts                           | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\rows\route.ts                      | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-export\route.ts  | TypeScript     |         36 |          0 |          5 |         41 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-preview\route.ts | TypeScript     |         30 |          0 |          5 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\sot\route.ts                       | TypeScript     |         44 |          0 |          3 |         47 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts      | TypeScript     |        157 |          0 |          9 |        166 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\actions\route.ts                       | TypeScript     |        195 |          0 |         13 |        208 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\dealer-mappings\route.ts               | TypeScript     |         35 |          0 |          3 |         38 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\evidence\[id]\route.ts                 | TypeScript     |         33 |          0 |          2 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\route.ts                               | TypeScript     |        618 |          3 |         66 |        687 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\bulk-approve\route.ts                                  | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\workflow\route.ts                                      | TypeScript     |         10 |          0 |          1 |         11 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\[...module]\page.tsx                                        | TypeScript JSX |          7 |          5 |          0 |         12 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\page.tsx                                                    | TypeScript JSX |         -4 |          5 |          0 |          1 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\[...module]\page.tsx                                             | TypeScript JSX |         74 |          0 |         12 |         86 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\page.tsx                                                         | TypeScript JSX |         27 |          0 |          7 |         34 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\proforma\[section]\page.tsx                                      | TypeScript JSX |         30 |          0 |          6 |         36 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\proforma\page.tsx                                                | TypeScript JSX |         16 |          0 |          4 |         20 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\[...module]\page.tsx                                       | TypeScript JSX |         23 |          0 |          1 |         24 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\globals.css                                                                | PostCSS        |         90 |          0 |         17 |        107 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\layout.tsx                                                                 | TypeScript JSX |        -18 |          0 |         -1 |        -19 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\purchase-orders\page.tsx                                                   | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\theme-initializer.tsx                                                      | TypeScript JSX |         30 |          0 |          5 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\sidebar.tsx                                                  | TypeScript JSX |         45 |          0 |          1 |         46 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\providers\query-provider.tsx                                        | TypeScript JSX |          7 |          0 |          1 |          8 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\config\env-config.ts                                                           | TypeScript     |          5 |          0 |          0 |          5 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-dual-write-contract.md                                           | Markdown       |         60 |          0 |         25 |         85 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-migration-deploy.md                                              | Markdown       |         64 |          0 |         29 |         93 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-migration-inventory-2026-06-15.md                                | Markdown       |        109 |          0 |          8 |        117 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-migration-rollback.md                                            | Markdown       |         33 |          0 |         15 |         48 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\docs\database-performance-audit-2026-06-14.md                                  | Markdown       |        167 |          0 |         75 |        242 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\docs\hyundai-business-excellence-source-contract.md                            | Markdown       |         39 |          0 |          8 |         47 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\docs\hyundai-data-coverage-2026-06-15.md                                       | Markdown       |        133 |          0 |         24 |        157 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\business-excellence-page.tsx                                  | TypeScript JSX |         84 |          0 |          1 |         85 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\warranty-claims-page.tsx                                      | TypeScript JSX |        546 |          1 |         32 |        579 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\business-excellence-overview.tsx                                  | TypeScript JSX |          5 |          0 |          0 |          5 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\service-dashboard-preview-section.tsx                             | TypeScript JSX |         26 |          0 |          1 |         27 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\mg\mg-module-placeholder.tsx                                          | TypeScript JSX |         29 |          0 |          3 |         32 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\mg\mg-proforma-page.tsx                                               | TypeScript JSX |      1,327 |          1 |         64 |      1,392 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\business-excellence-overview.tsx                             | TypeScript JSX |         17 |          0 |          0 |         17 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\business-excellence-page.tsx                                 | TypeScript JSX |        108 |          0 |          3 |        111 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\platinum-complaints-section.tsx                              | TypeScript JSX |         31 |          0 |          5 |         36 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\admin\authorization.ts                                                     | TypeScript     |        -13 |          0 |         -1 |        -14 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\am-finance\access.ts                                                       | TypeScript     |         -2 |          0 |          0 |         -2 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\bigquery-provider.ts                                             | TypeScript     |         57 |          5 |          7 |         69 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\client.ts                                                        | TypeScript     |         16 |          0 |          5 |         21 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\config.ts                                                        | TypeScript     |         23 |          0 |          5 |         28 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\db.ts                                                            | TypeScript     |         12 |          4 |          3 |         19 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\dual-provider.ts                                                 | TypeScript     |         51 |          0 |          7 |         58 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\index.ts                                                         | TypeScript     |         29 |          0 |          7 |         36 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\postgres-provider.ts                                             | TypeScript     |         35 |          0 |          2 |         37 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\sql-dialect\porting-guide.md                                     | Markdown       |         26 |          0 |          8 |         34 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\table-map.ts                                                     | TypeScript     |         62 |          4 |          3 |         69 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\types.ts                                                         | TypeScript     |         21 |          0 |          4 |         25 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\auth\app-user.ts                                                           | TypeScript     |        106 |          1 |         11 |        118 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\auth\roles.ts                                                              | TypeScript     |          5 |          1 |          1 |          7 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\auth-client.ts                                                          | TypeScript     |         59 |          3 |         12 |         74 |
