"filename", "language", "Markdown", "JSON with Comments", "PowerShell", "TypeScript", "log", "JavaScript", "MS SQL", "XML", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\auth\roles.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\branch-module-access.ts", "TypeScript", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 21, 204
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\branches.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\business-excellence\comparison.ts", "TypeScript", 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 27, 234
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\business-excellence\executive-targets.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\business-excellence\workshop-classification.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\dashboard-config.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 5, 71
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\date-time.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 33, 147
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\index.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 3, 13, 83
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\schema.ts", "TypeScript", 0, 0, 0, 858, 0, 0, 0, 0, 0, 0, 32, 64, 954
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\finance-orders\access.ts", "TypeScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 24, 144
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hooks\use-user-preferences.ts", "TypeScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 5, 20, 136
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hooks\use-user-role.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 6, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence.ts", "TypeScript", 0, 0, 0, 721, 0, 0, 0, 0, 0, 0, 0, 74, 795
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\dealer-branch.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\warranty-claims.ts", "TypeScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 15, 119
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\warranty-storage.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia-proforma\access.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia-proforma\invoice.ts", "TypeScript", 0, 0, 0, 529, 0, 0, 0, 0, 0, 0, 0, 34, 563
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia-proforma\pricing.ts", "TypeScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 19, 183
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia-proforma\server.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\dealer-branch.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\service-dashboard-export.ts", "TypeScript", 0, 0, 0, 968, 0, 0, 0, 0, 0, 0, 0, 103, 1071
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\notifications\finance-workflow.ts", "TypeScript", 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 29, 297
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\notifications\types.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\notifications\workflow.ts", "TypeScript", 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 37, 347
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\permissions\registry.ts", "TypeScript", 0, 0, 0, 707, 0, 0, 0, 0, 0, 0, 0, 14, 721
