"filename", "language", "JSON with Comments", "PowerShell", "Markdown", "TypeScript", "MS SQL", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\admin.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 2, 18
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\client.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\middleware.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 9, 60
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\server.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 3, 31
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\storage.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 24, 19, 129
"c:\Users\HP\Downloads\Main_Dashboard\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\HP\Downloads\Main_Dashboard\next.config.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\HP\Downloads\Main_Dashboard\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10196, 0, 0, 0, 1, 10197
"c:\Users\HP\Downloads\Main_Dashboard\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 62
"c:\Users\HP\Downloads\Main_Dashboard\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\HP\Downloads\Main_Dashboard\proxy.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 4, 22
"c:\Users\HP\Downloads\Main_Dashboard\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 11, 63
"c:\Users\HP\Downloads\Main_Dashboard\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\scratch\init-db.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-actual-amount-column.sql", "MS SQL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-brand-column.sql", "MS SQL", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 4, 11
